=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 124 of 133
runtime_tpchd_SQLServer_testonVM faster: 114 queries (91.9%)
runtime_tpchd_trainonMac_testonVM faster: 10 queries (8.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 114 of 124 comparable queries (91.9%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 50 of 133
"Mean difference (n=50): 53,911.86 ms"
"Median difference (n=50): 9,858.50 ms"
runtime_tpchd_SQLServer_testonVM faster: 43 queries (86.0%)
runtime_tpchd_trainonMac_testonVM faster: 7 queries (14.0%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 43 of 50 head-to-head queries (86.0%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonMac_testonVM Runtime (ms),Faster Model,Difference
Job6v4,"11,707",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job74v0,92,34,runtime_tpchd_trainonMac_testonVM,-58 ms slower
Job74v2,"7,495","16,257",runtime_tpchd_SQLServer_testonVM,"8,762 ms faster"
Job74v4,40,686,runtime_tpchd_SQLServer_testonVM,646 ms faster
Job75v2,"5,722","10,205",runtime_tpchd_SQLServer_testonVM,"4,483 ms faster"
Job76v0,"13,847","19,353",runtime_tpchd_SQLServer_testonVM,"5,506 ms faster"
Job76v2,40,672,runtime_tpchd_SQLServer_testonVM,632 ms faster
Job76v3,"63,306",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job76v4,"23,340","83,225",runtime_tpchd_SQLServer_testonVM,"59,885 ms faster"
Job78v4,398,"78,662",runtime_tpchd_SQLServer_testonVM,"78,264 ms faster"
Job79v0,"61,270","172,492",runtime_tpchd_SQLServer_testonVM,"111,222 ms faster"
Job85v3,"3,780",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job90v2,"10,897","67,785",runtime_tpchd_SQLServer_testonVM,"56,888 ms faster"
Job91v2,570,Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job9v1,"2,200","1,844",runtime_tpchd_trainonMac_testonVM,-356 ms slower
Job9v3,"1,682","2,419",runtime_tpchd_SQLServer_testonVM,737 ms faster
Job9v4,"2,068","10,119",runtime_tpchd_SQLServer_testonVM,"8,051 ms faster"
